,Date_first_seen,Duration,Proto,Src_IP_Addr,Src_Pt,Dst_IP_Addr,Dst_Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription,year,day,month
0,2017-03-20 15:17:55.476,0.976,TCP  ,EXT_SERVER,22,17173_42,48928.0,5,    1285,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
1,2017-03-20 21:40:40.553,0.064,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49922.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,20,3
2,2017-03-17 21:31:44.848,19.594,TCP  ,EXT_SERVER,22,14105_47,43202.0,26,    3745,1,.APRSF,0,suspicious,---,---,---,2017,17,3
3,2017-03-18 12:40:58.770,120.479,TCP  ,EXT_SERVER,22,10004_36,42582.0,13,    8617,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
4,2017-03-19 22:43:24.770,6.14,TCP  ,10004_36,56479,EXT_SERVER,22.0,5,     292,1,.APRSF,0,suspicious,---,---,---,2017,19,3
5,2017-03-21 04:50:06.451,9.076,TCP  ,10006_27,44861,EXT_SERVER,22.0,15,    2163,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
6,2017-03-15 19:33:13.445,0.056,TCP  ,OPENSTACK_NET,57777,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---,2017,15,3
7,2017-03-18 07:42:51.726,19.69,TCP  ,14105_47,33192,EXT_SERVER,22.0,25,    3036,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
8,2017-03-15 18:12:35.294,0.074,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55260.0,7,    1726,1,.AP.SF,0,normal,---,---,---,2017,15,3
9,2017-03-20 09:43:40.560,0.056,TCP  ,OPENSTACK_NET,61551,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---,2017,20,3
10,2017-03-18 06:08:22.469,9.184,TCP  ,10012_195,34936,EXT_SERVER,22.0,17,    2267,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
11,2017-03-16 22:08:21.392,0.0,TCP  ,12463_122,8085,EXT_SERVER,8849.0,1,      46,1,.A..S.,0,suspicious,---,---,---,2017,16,3
12,2017-03-16 20:42:02.371,5.093,TCP  ,11168_19,61461,EXT_SERVER,22.0,14,    1699,1,  0xdb,0,suspicious,---,---,---,2017,16,3
13,2017-03-17 08:58:40.069,0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62043.0,7,     556,1,.AP.SF,0,normal,---,---,---,2017,17,3
14,2017-03-19 11:25:40.252,0.072,TCP  ,OPENSTACK_NET,53259,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---,2017,19,3
15,2017-03-17 02:54:47.441,0.0,TCP  ,EXT_SERVER,443,10701_148,52547.0,1,      40,1,.A.R..,0,unknown,---,---,---,2017,17,3
16,2017-03-20 21:56:40.609,0.063,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50195.0,7,     561,1,.AP.SF,0,normal,---,---,---,2017,20,3
17,2017-03-20 19:55:20.341,11.167,TCP  ,10006_27,36343,EXT_SERVER,22.0,18,    2343,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
18,2017-03-18 05:52:40.583,0.044,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,54294.0,7,     556,1,.AP.SF,0,normal,---,---,---,2017,18,3
19,2017-03-20 06:51:55.296,0.975,TCP  ,17173_42,33275,EXT_SERVER,22.0,6,     340,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
20,2017-03-20 02:54:40.929,0.0,TCP  ,EXT_SERVER,23,17119_36,43180.0,1,      40,1,.A.R..,0,suspicious,---,---,---,2017,20,3
21,2017-03-20 11:40:07.675,0.935,TCP  ,17173_42,10945,EXT_SERVER,22.0,6,     340,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
22,2017-03-20 18:11:39.128,0.0,UDP  ,10918_20,5107,EXT_SERVER,5060.0,1,     441,1,......,0,suspicious,---,---,---,2017,20,3
23,2017-03-21 13:41:25.456,10.174,TCP  ,10006_27,36397,EXT_SERVER,22.0,16,    2299,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
24,2017-03-17 03:56:18.203,9.461,TCP  ,10054_249,55515,EXT_SERVER,22.0,17,    2267,1,.AP.SF,0,suspicious,---,---,---,2017,17,3
25,2017-03-18 22:29:04.004,30.998,TCP  ,15588_32,13902,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---,2017,18,3
26,2017-03-20 04:19:22.603,0.936,TCP  ,17173_42,55066,EXT_SERVER,22.0,6,     340,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
27,2017-03-20 16:36:03.370,0.017,UDP  ,EXT_SERVER,57666,10014_199,123.0,1,      76,1,......,0,suspicious,---,---,---,2017,20,3
28,2017-03-18 21:16:40.197,0.086,TCP  ,OPENSTACK_NET,65361,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---,2017,18,3
29,2017-03-19 12:01:40.584,0.04,TCP  ,OPENSTACK_NET,52699,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---,2017,19,3
30,2017-03-16 12:57:18.221,10.45,TCP  ,EXT_SERVER,22,10012_231,42101.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,16,3
31,2017-03-17 03:13:31.241,125.071,TCP  ,10004_36,57355,EXT_SERVER,22.0,5,     262,1,.A.RSF,0,suspicious,---,---,---,2017,17,3
32,2017-03-18 06:50:55.863,17.78,TCP  ,EXT_SERVER,22,14105_47,59510.0,26,    3745,1,.APRSF,0,suspicious,---,---,---,2017,18,3
33,2017-03-21 11:18:10.170,11.454,TCP  ,10006_27,34086,EXT_SERVER,22.0,16,    2223,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
34,2017-03-15 06:33:27.933,0.064,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,52387.0,7,     561,1,.AP.SF,0,normal,---,---,---,2017,15,3
35,2017-03-20 07:31:42.254,0.07,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,56544.0,7,    1728,1,.AP.SF,0,normal,---,---,---,2017,20,3
36,2017-03-21 23:00:58.547,0.314,TCP  ,EXT_SERVER,3389,19350_35,53478.0,1,      40,1,.A.R..,0,suspicious,---,---,---,2017,21,3
